Year,Contract Number,Contract Type,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Call Center – Pharmacy Hold Time,Call Center – Foreign Language Interpreter and TTY/TDD Availability,Appeals Auto–Forward,Appeals Upheld,Enrollment Timeliness,Complaints about the Drug Plan,Beneficiary Access and Performance Problems,Members Choosing to Leave the Plan,Drug Plan Quality Improvement,Getting Information From Drug Plan,Rating of Drug Plan,Getting Needed Prescription Drugs,MPF Price Accuracy,High Risk Medication,Diabetes Treatment,Part D Medication Adherence for Oral Diabetes Medications,Part D Medication Adherence for Hypertension (RAS antagonists),Part D Medication Adherence for Cholesterol (Statins)
2012,E0654,PDP,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,TEAMStar Medicare Part D Prescription Drug Program,,,0.6,,,0.1,,,,,,,,0.206,0.808,0.751,0.759,0.696
2012,E2332,PDP,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,,,7.1,,,0,,,,,,,,0.269,0.826,0.81,0.81,0.784
2012,E2630,PDP,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C and O Employees Hospital Association,,,3.9,,,0.13,,,,,,,,0.277,0.783,0.812,0.783,0.752
2012,E2868,PDP,Employer/Union Only Direct Contract PDP,CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL,Carpenters' District Council of Greater St. Louis,Carpenters' District Council of Greater St. Louis,,,0,,,0.13,,,,,,,,0.244,0.816,0.833,0.808,0.761
2012,E3014,PDP,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Pennsylvania Public School Employees Retirement Sy,,,0.5,,,0.03,,,,,,,,0.184,0.803,0.802,0.816,0.769
2012,E4744,PDP,Employer/Union Only Direct Contract PDP,MO DOT AND MSHP MEDICAL AND LIFE INS PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,MISSOURI DEPARTMENT OF TRANSPORTATION,,,22.4,,,0.12,,,,,,,,0.239,0.839,0.814,0.807,0.755
2012,E6322,PDP,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,,,1.3,0,,0.03,,,,,,,,0.309,0.829,0.805,0.788,0.732
2012,E7316,PDP,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad  Employes Health Systems,,,0,,,0.01,,,,,,,,0.209,0.806,0.688,0.708,0.685
2012,E7848,PDP,Employer/Union Only Direct Contract PDP,OKLAHOMA STATE AND EDUCATION EMP GRP INS BOARD,HealthChoice,HealthChoice,,,0.6,0.8,,0.02,,,,,,,,0.317,0.825,0.747,0.764,0.748
2012,H0084,MA-PD,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,Care Improvement Plus,0.0125,71.9,0,,83.83,1.3,60,0.29,,0.83,0.79,0.9,98.5,0.23,0.799,0.571,0.659,0.57
2012,H0104,MA-PD,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Cross and Blue Shield of Alabama,0.054166667,74.5,0.5,,81.99,0.86,80,0.22,,0.81,0.8,0.92,97.7,0.335,0.821,0.725,0.709,0.652
2012,H0108,MA-PD,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Health Plan of California, Inc.",0.020138889,84,,,68.92,2.54,100,,,,,,96.2,0.149,0.859,0.762,0.672,0.665
2012,H0117,MA-PD,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,WellCare,0.0125,86.1,0,,97.14,0.52,60,0.19,,0.79,0.8,0.9,99.3,0.199,0.844,0.661,0.689,0.627
2012,H0141,MA-PD,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource,0.017361111,,,,87.83,,80,,,,,,98.8,0.322,0.839,0.787,0.682,0.653
2012,H0150,MA-PD,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.","Healthspring of Alabama, Inc.",0.016666667,81.3,3.3,,91.91,0.22,44,0.12,,0.83,0.87,0.93,,0.289,0.815,0.654,0.625,0.576
2012,H0151,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,UnitedHealthcare,0.043055556,77.4,0,,96.56,0.19,40,0.1,,0.83,0.88,0.93,97.9,0.342,0.804,0.661,0.653,0.607
2012,H0154,MA-PD,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,VIVA Medicare Plus,0.024305556,90.8,1.6,,82.79,0.14,100,0.06,,0.83,0.85,0.92,99.1,0.324,0.832,0.687,0.687,0.63
2012,H0248,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Insurance Company,0.01875,84.1,0,,78.49,0.51,100,0.12,,0.76,0.83,0.88,96.3,0.122,0.882,0.724,0.693,0.647
2012,H0251,MA-PD,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,UnitedHealthcare Community Plan,0.045833333,,1.5,,95.72,0.49,60,0.13,,0.79,0.86,0.91,98,0.382,0.834,0.682,0.663,0.663
2012,H0294,MA-PD,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,Care Improvement Plus,,,,,,,,,,,,,,,,,,
2012,H0302,MA-PD,Local CCP,"BANNER MEDISUN, INC.",Banner MediSun,Banner MediSun,0.033333333,75.3,0,,99.3,0.1,80,0.06,,0.88,0.85,0.94,96.7,0.138,0.816,0.798,0.773,0.734
