Year,Contract Number,Contract Type,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Summary Score,SNP,Sanction Deduction
2012,E0654,PDP,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Not enough data to calculate summary score,N/A,No
2012,E2332,PDP,Employer/Union Only Direct Contract PDP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,National Rural Electric Cooperative Association,National Rural Electric Cooperative Association,Not enough data to calculate summary score,N/A,No
2012,E2630,PDP,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,Not enough data to calculate summary score,N/A,No
2012,E2868,PDP,Employer/Union Only Direct Contract PDP,CARPENTER'S HEALTH  AND WELFARE TRUST FUND OF STL,Carpenters' District Council of Greater St. Louis,Carpenters H&W Trust Fund of St. Louis,Not enough data to calculate summary score,N/A,No
2012,E3014,PDP,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Not enough data to calculate summary score,N/A,No
2012,E4744,PDP,Employer/Union Only Direct Contract PDP,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Not enough data to calculate summary score,N/A,No
2012,E6322,PDP,Employer/Union Only Direct Contract PDP,KENTUCKY RETIREMENT SYSTEM,Kentucky Retirement Systems,Kentucky Retirement Systems,Not enough data to calculate summary score,N/A,No
2012,E7316,PDP,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,Not enough data to calculate summary score,N/A,No
2012,E7848,PDP,Employer/Union Only Direct Contract PDP,OMES EMPLOYEES GROUP INSURANCE DIVISION,HealthChoice,State of Oklahoma,Not enough data to calculate summary score,N/A,No
2012,H0084,MA-PD,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",2,Yes,No
2012,H0104,MA-PD,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Advantage (PPO),BlueCross BlueShield of Alabama,2.5,No,No
2012,H0108,MA-PD,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,3,N/A,No
2012,H0117,MA-PD,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",3,Yes,No
2012,H0141,MA-PD,Local CCP,"MCLAREN HEALTH PLAN, INC.",McLarenAdvantage,McLaren Health Care Corporation,3,Yes,No
2012,H0150,MA-PD,Local CCP,"HEALTHSPRING OF ALABAMA, INC.",Cigna-HealthSpring,CIGNA,2.5,Yes,No
2012,H0151,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H0154,MA-PD,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare,UAB Health System,3,Yes,No
2012,H0248,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,N/A,No
2012,H0251,MA-PD,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H0294,MA-PD,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",Plan too new to be measured,Yes,No
2012,H0302,MA-PD,Local CCP,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",4.5,No,No
2012,H0303,MA-PD,Local CCP,"PACIFICARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H0307,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,N/A,No
2012,H0316,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,No,No
2012,H0317,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,No,No
2012,H0318,MA-PD,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,2.5,N/A,No
2012,H0319,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H0320,MA-PD,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,No,No
2012,H0321,MA-PD,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H0332,MA-PD,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",4,N/A,No
2012,H0351,MA-PD,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",3,Yes,No
2012,H0354,MA-PD,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,4,Yes,No
2012,H0401,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,No,No
2012,H0408,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data to calculate summary score,Yes,No
2012,H0423,MA-PD,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,2.5,Yes,No
2012,H0490,MA-PD,Local CCP,"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",2.5,Yes,No
2012,H0504,MA-PD,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,4,N/A,No
2012,H0523,MA-PD,Local CCP,AETNA HEALTH OF CALIFORNIA INC.,Aetna Medicare,Aetna Inc.,3,N/A,No
2012,H0524,MA-PD,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,Yes,No
2012,H0543,MA-PD,Local CCP,"UHC OF CALIFORNIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H0544,MA-PD,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",3.5,Yes,No
2012,H0545,MA-PD,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,3.5,No,No
2012,H0562,MA-PD,Local CCP,"HEALTH NET OF CALIFORNIA,INC.",Health Net of California,"Health Net, Inc.",3,Yes,No
2012,H0564,MA-PD,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",3,No,No
2012,H0571,MA-PD,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,3.5,Yes,No
2012,H0602,MA-PD,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",4,N/A,No
2012,H0609,MA-PD,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,N/A,No
2012,H0620,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H0621,MA-PD,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,3.5,Yes,No
